name,inferred_styles,inferred_colors,strategic_note
"Eucalyptus Frame - White & Gold","botanical; formal/luxe","White; Gold","stationery/luxe finish"
"Vintage Fantasy Vines - Olive","botanical; retro/vintage","Olive","motif/color led"
"Elegant Lights","classic","unspecified","motif/color led"
"Custom Pet Portrait - Pink","general romantic","Pink","motif/color led"
"Climbing Leaves - Orange","botanical","Orange","motif/color led"
"Elegant Eucalyptus","botanical; classic","unspecified","motif/color led"
"Rustic Botanical","botanical","unspecified","motif/color led"
"Modern Ellipse - Black","general romantic","Black","motif/color led"
"Simply Elegant - Cream","classic","Cream","motif/color led"
"Mountainside - Green","destination/place","Green","place/travel identity"
"Woodgrain Lace","general romantic","unspecified","motif/color led"
"Santa Fe - White & Gold","formal/luxe","White; Gold","stationery/luxe finish"
"Celestial Arch - Teal & Gold","formal/luxe","Teal; Gold","stationery/luxe finish"
"Rustic Reflection - Blue","general romantic","Blue","motif/color led"
"Cinematic - Green","general romantic","Green","motif/color led"
"Scallop Rattan - Burgundy","general romantic","Burgundy","motif/color led"
"Watercolor Chicago - Regency Blue","destination/place; retro/vintage","Blue","place/travel identity"
"Metallic Edge - Cream & Gold","formal/luxe","Gold; Cream","stationery/luxe finish"
"Watercolor Floral Crest - Cornflower","floral","unspecified","motif/color led"
"Dallas Skyline - Royal Blue","destination/place","Blue","place/travel identity"
"Elegant Oasis","classic","unspecified","motif/color led"
"Window Gallery - Pure White","editorial/minimal","White","photo/typography led"
"Art Nouveau Wisteria - Purple Petal","retro/vintage","Purple","motif/color led"
"Classic Ampersand - Moody Blue & Gold","formal/luxe; classic","Blue; Gold; Sand","stationery/luxe finish"
"Minimal Photograph - White","editorial/minimal","White","photo/typography led"
"Cherry Blossoms - Pink & Gold","floral; formal/luxe","Pink; Gold","stationery/luxe finish"
"Enchanted Wildflower - Green","floral","Green","motif/color led"
"Minimal Rings - Blue & Gold","formal/luxe; editorial/minimal","Blue; Gold","stationery/luxe finish"
"Flower Market - Yellow","floral","Yellow","motif/color led"
"Shining Leaves - Pure White & Gold","botanical; formal/luxe","White; Gold","stationery/luxe finish"
"Classic Anemone","classic","unspecified","motif/color led"
"Arched Photo - Sand","editorial/minimal","Sand","photo/typography led"
"Foil Lace - White & Gold","formal/luxe","White; Gold","stationery/luxe finish"
"Country Lavender","general romantic","Lavender","motif/color led"
"Gothic Fantasy Photo - Linen","editorial/minimal","Linen","photo/typography led"
"Shimmering Frame - Black & Gold","formal/luxe","Black; Gold","stationery/luxe finish"
"Editorial Label Maker - Linen","editorial/minimal","Linen","photo/typography led"
"Shining Sprig - Grey & Gold","formal/luxe","Grey; Gold","stationery/luxe finish"
"Wildflower Nouveau - Green","floral; retro/vintage","Green","motif/color led"
"Desert Tapestry - Cream","destination/place","Cream","place/travel identity"
"Tropical Frame - Blue","destination/place","Blue","place/travel identity"
"Oval Garland Foil - Champagne & Gold","formal/luxe","Gold; Champagne","stationery/luxe finish"
"Crystal Forest - Regency","retro/vintage","unspecified","motif/color led"
"Vintage Garden - Pink","floral; retro/vintage","Pink","motif/color led"
"Painted Desert - Purple","destination/place","Purple","place/travel identity"
"Rustic Chic - Brown","general romantic","Brown","motif/color led"
"Botanical Olive - Cream","botanical","Cream; Olive","motif/color led"
"Organic Swash - Burgundy & Gold","formal/luxe","Gold; Burgundy","stationery/luxe finish"
"Gilded Wildflower - White & Gold","floral; formal/luxe","White; Gold","stationery/luxe finish"
"Minimal Leaves - Gold","botanical; formal/luxe; editorial/minimal","Gold","stationery/luxe finish"
"Calla Lily Nouveau - Champagne","retro/vintage","Champagne","motif/color led"
"Vintage Nouveau - Green","retro/vintage","Green","motif/color led"
"Painterly Blooms - Pink","floral","Pink","motif/color led"
"Spooky Halloween Nouveau - Linen","seasonal/theme; retro/vintage","Linen","motif/color led"
"Happy Tears - Black","playful/unique","Black","motif/color led"
"Gilded Monogram - Green & Gold","formal/luxe","Green; Gold","stationery/luxe finish"
"Modern Magic - Lavender & Gold","formal/luxe","Gold; Lavender","stationery/luxe finish"
"Old Money - Champagne","retro/vintage","Champagne","motif/color led"
"Editorial Promise - Pure White","editorial/minimal","White","photo/typography led"
"Fairytale Eucalyptus Foil - Burgundy & Silver","botanical; formal/luxe; retro/vintage","Burgundy","stationery/luxe finish"
"Modern Hand Drawn Wavy Frame - Chartreuse","general romantic","unspecified","motif/color led"
"Exquisite Calligraphy - White","general romantic","White","motif/color led"
"Botanical Frame - Green","botanical","Green","motif/color led"
"Scenic Denver Colorado - Pastel Blue","destination/place","Blue","place/travel identity"
"Eclectic Adornment - Pink","playful/unique","Pink","motif/color led"
"Romantic Branches - Grey","botanical","Grey","motif/color led"
"Joyful Day - Blue & Gold","formal/luxe","Blue; Gold","stationery/luxe finish"
"Vibrant Bold - Pink","playful/unique","Pink","motif/color led"
"Foil Arch - Grey & Gold","formal/luxe","Grey; Gold","stationery/luxe finish"
"Photo Flourish - Marigold","formal/luxe; editorial/minimal","Gold","stationery/luxe finish"
"Lush Arch - Pink","general romantic","Pink","motif/color led"
"Folk Art - Blue","general romantic","Blue","motif/color led"
"Elegant Snapshot - French Blue","classic; editorial/minimal","Blue","photo/typography led"
"Vibrant Blooms - Red","floral; playful/unique","Red","motif/color led"
"Ampersand Flourish - White","general romantic","White; Sand","motif/color led"
"Luxe Monogram - Black","general romantic","Black","motif/color led"
"Gilded Garland - White & Gold","formal/luxe","White; Gold","stationery/luxe finish"
"Formal Nautical - Blue","destination/place","Blue","place/travel identity"
"Ankara Print - Gold & Gold","formal/luxe; cultural/religious","Gold","identity-specific motif"
"Simple Elegant Black Tie - Champagne","formal/luxe; classic","Black; Champagne","stationery/luxe finish"
"Vintage Luxe - Blue","retro/vintage","Blue","motif/color led"
"Elegant Italian Olive Branches - Champagne","botanical; classic","Champagne; Olive","motif/color led"
"Regality - Green & Gold","formal/luxe","Green; Gold","stationery/luxe finish"
"Ornate Lace - Burgundy","general romantic","Burgundy","motif/color led"
"Simple Editorial Photo - Pure White","editorial/minimal","White","photo/typography led"
"Elegant Floral - Lilac","floral; classic","unspecified","motif/color led"
"Iconic Mountain - Green","destination/place","Green","place/travel identity"
"Timeless Lockup - Pure White","classic","White","motif/color led"
"Watercolor Greenery","botanical","Green","motif/color led"
"Classic Shell - Royal Blue & Gold","formal/luxe; classic; destination/place","Blue; Gold","place/travel identity"
"Rustic Pine - Green","general romantic","Green","motif/color led"
"Timeless Passport - Shell Pink","classic; destination/place","Pink","place/travel identity"
"Elegant Western Monogram - Walnut","classic; destination/place","Walnut","place/travel identity"
"Dried Blooms - Red & Gold","floral; formal/luxe","Gold; Red","stationery/luxe finish"
"Eclectic Monstera - Teal","playful/unique","Teal","motif/color led"
"Retro Spotlight - Pink","retro/vintage","Pink","motif/color led"
"Botanical Citrus Garden - Rose Gold","floral; botanical; formal/luxe","Gold","stationery/luxe finish"
"Happily Ever After Party - Pure White","general romantic","White","motif/color led"
"Fairytale Wildflower Crest - Pure White","floral; retro/vintage","White","motif/color led"
"Vines - Green","botanical","Green","motif/color led"
"Fairytale Woodgrain Slab - White","retro/vintage","White","motif/color led"
"Romantic Calligraphy - Grey & Gold","formal/luxe","Grey; Gold","stationery/luxe finish"
"Elegant Antique Toile Frame by Bridgerton - Blue","classic; retro/vintage","Blue","motif/color led"
"Painted Winery - Green","destination/place","Green","place/travel identity"
"Accent Arches - Black","general romantic","Black","motif/color led"
"Simply Classic - Grey","classic","Grey","motif/color led"
"Heirloom Botanical Foil - Pure White & Gold","botanical; formal/luxe; retro/vintage","White; Gold","stationery/luxe finish"
"Beloved Union - Red","general romantic","Red","motif/color led"
"No Big Deal - Gold","formal/luxe; playful/unique","Gold","stationery/luxe finish"
"Elegant Hydrangea - Blue","floral; classic","Blue","motif/color led"
"Editorial Gothic Till Death - Charcoal","editorial/minimal","Charcoal","photo/typography led"
"Charming Chateau - Gold","formal/luxe","Gold","stationery/luxe finish"
"Elegant Date - Pure White","classic","White","motif/color led"
"Ascending Garland - Yellow","general romantic","Yellow","motif/color led"
"Glamorous Regency Garden by Bridgerton - White","floral; formal/luxe; retro/vintage","White","stationery/luxe finish"
"Gilded Greenery - White & Gold","botanical; formal/luxe","White; Green; Gold","stationery/luxe finish"
"Falling In Love - Multi-Color","seasonal/theme","Multi-color","motif/color led"
"Scrapbook Photo - Linen","editorial/minimal","Linen","photo/typography led"
"Just Us - Cream & Gold","formal/luxe; playful/unique","Gold; Cream","stationery/luxe finish"
"Baroque Border - White & Gold","formal/luxe","White; Gold","stationery/luxe finish"
"Simple Rustic Fall Leaf - Maroon","botanical; seasonal/theme","Maroon","motif/color led"
"Painted Magnolia - Black","floral","Black","motif/color led"
"Baroque Garden - Cream & Gold","floral; formal/luxe","Gold; Cream","stationery/luxe finish"
"Modern Gallery - White","editorial/minimal","White","photo/typography led"
"On This Day - Blue & Gold","formal/luxe","Blue; Gold","stationery/luxe finish"
"Foundation - Chestnut","general romantic","unspecified","motif/color led"
"Editorial QR - Midnight","editorial/minimal","Midnight","photo/typography led"
"Something Blue","general romantic","Blue","motif/color led"
"Breezy Palm Trees - Lavender","botanical; destination/place","Lavender","place/travel identity"
"Simply Devoted - White","classic","White","motif/color led"
"Rustic Minimal - Cream","editorial/minimal","Cream","photo/typography led"
"Elegant Italian Toile - Regency Blue","classic; retro/vintage","Blue","motif/color led"
"Floral Monogram - White","floral","White","motif/color led"
"California Florals","floral; destination/place","unspecified","place/travel identity"
"Church Stained Glass - Blue","cultural/religious","Blue","identity-specific motif"
"Watercolor Fairytale Trees - Slate","retro/vintage","Slate","motif/color led"
"Rattan Sunshine - Orange & Gold","formal/luxe","Gold; Orange","stationery/luxe finish"
"Snowflake Branches - Blue","botanical; seasonal/theme","Blue","motif/color led"
